       Value   Percentile   TotalCount 1/(1-Percentile)

        0.00     0.000000       599703         1.00
        1.00     0.000000       599912         1.00
        2.00     0.000000       599917         1.00
        3.00     0.000000       599924         1.00
        4.00     0.000000       599933         1.00
        5.00     0.000000       599937         1.00
        6.00     0.000000       599941         1.00
        7.00     0.000000       599947         1.00
        8.00     0.000000       599951         1.00
        9.00     0.000000       599957         1.00
       10.00     0.000000       599979         1.00
       11.00     0.000000       599996         1.00
       12.00     0.000000       599997         1.00
       13.00     0.000000       599998         1.00
       14.00     0.000000       599999         1.00
       15.00     0.000000       599999         1.00
       16.00     0.000000       600000         1.00
#[Mean    =        0.002, StdDeviation   =        0.106]
#[Max     =       16.000, Total count    =       600000]
#[Buckets =           13, SubBuckets     =          256]
       Value   Percentile   TotalCount 1/(1-Percentile)

        0.00     0.000000       599666         1.00
        1.00     0.000000       599920         1.00
        2.00     0.000000       599929         1.00
        3.00     0.000000       599931         1.00
        4.00     0.000000       599936         1.00
        5.00     0.000000       599943         1.00
        6.00     0.000000       599948         1.00
        7.00     0.000000       599951         1.00
        8.00     0.000000       599957         1.00
        9.00     0.000000       599959         1.00
       10.00     0.000000       599972         1.00
       11.00     0.000000       599997         1.00
       12.00     0.000000       599998         1.00
       13.00     0.000000       599998         1.00
       14.00     0.000000       599998         1.00
       15.00     0.000000       599998         1.00
       16.00     0.000000       599998         1.00
       17.00     0.000000       599999         1.00
       18.00     0.000000       599999         1.00
       19.00     0.000000       599999         1.00
       20.00     0.000000       599999         1.00
       21.00     0.000000       600000         1.00
#[Mean    =        0.002, StdDeviation   =        0.105]
#[Max     =       21.000, Total count    =       600000]
#[Buckets =           13, SubBuckets     =          256]
       Value   Percentile   TotalCount 1/(1-Percentile)

        0.00     0.000000            0         1.00
        1.00     0.000000            0         1.00
        2.00     0.000000            0         1.00
        3.00     0.000000            0         1.00
        4.00     0.000000            0         1.00
        5.00     0.000000            0         1.00
        6.00     0.000000            0         1.00
        7.00     0.000000            0         1.00
        8.00     0.000000            0         1.00
        9.00     0.000000            0         1.00
       10.00     0.000000            1         1.00
       11.00     0.000000            1         1.00
       12.00     0.000000          520         1.00
       13.00     0.000000          753         1.00
       14.00     0.000000         7374         1.00
       15.00     0.000000        27665         1.00
       16.00     0.000000        34243         1.00
       17.00     0.000000        35417         1.00
       18.00     0.000000        35692         1.00
       19.00     0.000000        36254         1.00
       20.00     0.000000        37424         1.00
       21.00     0.000000        38192         1.00
       22.00     0.000000        39012         1.00
       23.00     0.000000        39754         1.00
       24.00     0.000000        40896         1.00
       25.00     0.000000        42867         1.00
       26.00     0.000000        45205         1.00
       27.00     0.000000        47067         1.00
       28.00     0.000000        49407         1.00
       29.00     0.000000        52215         1.00
       30.00     0.000000        55953         1.00
       31.00     0.000000        71761         1.00
       32.00     0.000000        81564         1.00
       33.00     0.000000        84085         1.00
       34.00     0.000000        85502         1.00
       35.00     0.000000        86989         1.00
       36.00     0.000000        89322         1.00
       37.00     0.000000        93123         1.00
       38.00     0.000000        98300         1.00
       39.00     0.000000       103875         1.00
       40.00     0.000000       107866         1.00
       41.00     0.000000       117506         1.00
       42.00     0.000000       156272         1.00
       43.00     0.000000       216073         1.00
       44.00     0.000000       249882         1.00
       45.00     0.000000       263859         1.00
